"no_features","randomforest_duration_s","ranger_duration_s"
50,12.9138576984406,0.327438354492188
100,24.1036653518677,0.502811670303345
150,34.972067117691,0.726740121841431
200,46.6902163028717,0.866013526916504
250,60.9478931427002,1.03583216667175
300,71.6411747932434,1.28829312324524
350,86.7648360729218,1.43544363975525
400,97.7416937351227,1.6912899017334
450,112.394095659256,1.93322920799255
500,126.77730846405,2.17411541938782
